-4.1,0.2,-0.45,-2.15,59.115,-160,70,-3.8893,-0.062833,0.044585,1.603,0.014
-4.1,0.2,-1.9,-0.7,57.769,-160,70,-3.8893,0.039567,0.09547,1.603,0.028
-3.6,0.2,-3.05,-0.95,57.769,-160,70,-3.8893,-0.18922,0.00283,1.603,0.043
-3.6,0.2,-1.05,-0.1,59.028,-160,70,-3.8893,-0.10106,-0.17714,1.603,0.057
-3.6,0.2,-1.6,1.8,59.071,-166,73,-3.7684,-0.00068,0.066307,1.603,0.071
-3.6,0.1,-2.7,-0.25,59.071,-166,73,-3.7684,-0.30545,-0.06525,1.562,0.085
-3.6,0.1,0.05,0.7,88.194,-166,73,-3.7684,-0.23846,-0.020966,1.562,0.1
-3.6,0.1,-0.25,0.4,59.375,-166,73,-3.7684,0.001466,0,1.562,0.114
-3.6,0.1,-2.95,-0.3,59.332,-166,73,-3.7684,-0.1288,0,1.562,0.128
-2.8,0.1,-1.7,0.05,59.332,-162,68,-4.0321,-0.35758,-0.082415,1.562,0.142
-2.8,0.1,1.65,0.85,59.332,-162,68,-4.0321,-0.16946,-0.026491,1.562,0.156
-2.8,0.1,0.2,0.45,59.332,-162,68,-4.0321,-0.32784,0,1.562,0.171
-2.8,0.1,0.6,0.15,59.332,-162,68,-4.0321,-0,-0.025953,1.547,0.185
-2.8,0.1,-2.3,0.35,88.238,-162,68,-4.0321,-0.24079,0.004432,1.547,0.199
-2.8,0.1,-0.5,0.1,59.505,-160,70,-3.8453,-0,-0.12374,1.547,0.213
-2.8,0,-2.55,0.85,59.505,-160,70,-3.8453,-0.47425,-0.30121,1.547,0.228
-2.8,0,1.7,3.2,59.462,-160,70,-3.8453,-0.1889,-0.30892,1.547,0.242
-2.8,0,-0.35,3.6,59.462,-160,70,-3.8453,-0.33944,-0.066843,1.547,0.256
-2.8,0,0.75,1.35,59.462,-160,70,-3.8453,-0.34662,-0.38701,1.547,0.27
-0.1,0,1.1,4.05,59.462,-151,70,-3.8179,-0.43056,-0.31165,1.547,0.284
-0.1,0,1.9,3.75,59.418,-151,70,-3.8179,-0.36984,-0.24449,1.547,0.299
-0.1,0,1.4,3.05,59.418,-151,70,-3.8179,-0.63442,-0.1231,1.547,0.313
-0.1,0.4,4,1.8,59.549,-151,70,-3.8179,-0,0,1.547,0.327
-0.1,0.4,-1.7,0.4,59.462,-151,70,-3.8179,-0,-0.11539,1.547,0.341
-0.1,0.4,-2.55,1.3,59.462,-140,69,-3.7574,-0,-0.16093,1.547,0.356
0.3,0.4,-2.6,1.85,58.767,-140,69,-3.7574,-0.25351,-0.28894,1.547,0.37
0.3,0.4,-0.3,3.15,59.505,-140,69,-3.7574,-0.21909,-0.49843,1.511,0.384
0.3,1.8,-0.25,5.4,88.281,-140,69,-3.7574,-0.14155,-0.57012,1.511,0.398
0.3,1.8,-1,6.45,59.635,-140,69,-3.7574,-0.075384,-0.27014,1.511,0.412
