-0.0000, 83, 
-0.0000, 83, 
0.0955, 83, 
-0.0000, 83, 
0.0153, 85, 
0.0297, 85, 
-0.0141, 84, 
0.0107, 80, 
0.0007, 80, 
0.0310, 80, 
-0.0147, 80, 
0.0065, 61, 
-0.0236, 61, 
0.0065, 84, 
-0.0435, 84, 
-0.0334, 84, 
-0.0299, 84, 
0.0040, 65, 
-0.0078, 65, 
-0.0035, 83, 
-0.0067, 83, 
-0.0164, 82, 
-0.0373, 82, 
-0.0000, 83, 
-0.0032, 83, 
-0.0310, 85, 
-0.0191, 85, 
0.0301, 82, 
-0.0183, 107, 
0.0499, 107, 
-0.0086, 86, 
-0.0317, 86, 
0.0072, 79, 
-0.0226, 79, 
-0.0714, 142, 
0.0090, 142, 
0.0042, 81, 
-0.0446, 81, 
-0.0073, 84, 
-0.0600, 84, 
-0.0013, 82, 
-0.0302, 82, 
-0.0186, 81, 
-0.0258, 81, 
-0.0049, 81, 
-0.0016, 81, 
-0.0068, 83, 
-0.0022, 83, 
-0.0642, 103, 
0.0072, 103, 
-0.0554, 72, 
0.0184, 80, 
0.0170, 80, 
0.0327, 82, 
-0.00930.0116, 47, 
-0.0248, 47, 
-0.0520, 82, 
-0.0220, 82, 
0.0116, 83, 
-0.0198, 83, 
-0.0341, 82, 
-0.0046, 82, 
0.0125, 89, 
-0.0292, 89, 
0.0056, 82, 
0.0468, 82, 
-0.0491, 83, 
-0.0524, 83, 
0.0231, 82, 
-0.0384, 82, 
-0.0541, 80, 
-0.0287, 80, 
-0.0032, 70, 
-0.0162, 83, 
-0.0142, 83, 
-0.0221, 81, 
-0.0262, 81, 
0.0051, 90, 
0.0099, 90, 
0.0446, 81, 
0.0386, 81, 
-0.0082, 92, 
-0.0491, 92, 
-0.0009, 79, 
0.0073, 79, 
-0.0168, 82, 
0.0270, 82, 
-0.0325, 83, 
-0.0220, 83, 
0.0408, 67, 
0.0197, 67, 
-0.0091, 85, 
-0.0004, 85, 
0.0113, 82, 
-0.0298, 82, 
-0.0413, 81, 
0.0304, 81, 
0.0096, 63, 
-0.0004, 35, 
-0.0190, 35, 
-0.0368, 74, 
0.0323, 74, 
-0.0373, 73, 
-0.0251, 73, 
-0.0103, 80, 
0.0302, 80, 
-0.0629, 81, 
0.0503, 81, 
0.0619, 80, 
0.0017, 80, 
-0.0391, 80, 
0.0141, 80, 
-0.0319, 79, 
0.0227, 79, 
0.0381, 81, 
-0.0204, 81, 
-0.0052, 79, 
0.0606, 79, 
0.0471, 79, 
0.0185, 79, 
-0.0086, 90, 
-0.0437, 109, 
0.0411, 109, 
-0.0100, 80, 
0.0037, 80, 
-0.0550, 81, 
-0.0201, 81, 
-0.0066, 83, 
-0.0488, 83, 
0.0190, 86, 
0.0060, 86, 
-0.0049, 82, 
-0.0131, 82, 
-0.0496, 79, 
0.0110, 79, 
-0.0283, 78, 
-0.0059, 78, 
-0.0182, 84, 
-0.0098, 84, 
0.0227, 79, 
-0.0183, 79, 
-0.0387, 82, 
0.0180, 82, 
-0.0221, 101, 
-0.0769, 81, 
-0.0492, 81, 
-0.0285, 81, 
-0.0137, 81, 
-0.0161, 81, 
0.0149, 81, 
0.0136, 56, 
-0.0127, 56, 
-0.0357, 105, 
0.0140, 105, 
-0.0277, 74, 
-0.0476, 74, 
-0.0157, 32, 
0.0173, 32, 
-0.0109, 81, 
0.0449, 81, 
-0.0220, 80, 
-0.0484, 80, 
0.0192, 81, 
-0.0371, 81, 
0.0208, 81, 
-0.0228, 81, 
-0.0291, 70, 
-0.0027, 80, 
-0.0074, 80, 
-0.0071, 81, 
-0.0310, 81, 
-0.0505, 82, 
0.0030, 82, 
0.0228, 101, 
-0.0082, 101, 
0.0082, 81, 
-0.0174, 81, 
-0.0298, 95, 
-0.0249, 95, 
-0.0024, 82, 
-0.0163, 82, 
0.0455, 81, 
-0.0156, 81, 
-0.0134, 81, 
0.0247, 81, 
0.0166, 83, 
-0.0254, 83, 
-0.0391, 81, 
-0.0097, 81, 
-0.0088, 82, 
0.0069, 82, 
