-0.013, -0.090, -0.005, -0.052, -0.000, -0.005, 0.000, 0.000, 0.013, -0.064, 16, 65, 2, 1.581, 11.501, 4000, 1.000, 1.905, -6.554, -16.507, -33.053, 8.778, 106.342, 0, 1.582, 
-0.012, -0.092, 0.003, -0.056, 0.000, -0.005, 0.000, 0.000, 0.015, -0.099, 9, 74, 2, 1.582, 11.501, 4000, 1.000, 1.578, -7.376, -16.497, -33.052, 8.777, 100.221, 0, 1.582, 
-0.012, -0.095, -0.001, -0.054, -0.000, -0.005, 0.000, 0.000, -0.031, -0.036, -3, 83, 2, 1.580, 11.501, 4000, 1.000, 1.298, -7.987, -16.260, -32.789, 8.746, 93.174, 0, 1.580, 
-0.013, -0.098, -0.005, -0.052, -0.001, -0.005, 0.000, 0.000, -0.000, -0.066, 5, 77, 2, 1.580, 11.501, 4000, 1.000, 1.061, -8.409, -15.831, -32.307, 8.688, 85.918, 0, 1.580, 
-0.013, -0.100, -0.004, -0.050, -0.001, -0.006, 0.0-0.014, -0.118, 0.001, -0.047, -0.001, -0.008, 0.000, 0.000, -0.023, -0.042, 3, 85, 2, 1.580, 11.501, 4000, 1.000, 0.362, -7.182, -8.780, -24.313, 7.735, 34.044, 0, 1.580, 
-0.015, -0.120, -0.008, -0.044, -0.001, -0.008, 0.000, 0.000, -0.020, -0.061, 4, 84, 2, 1.580, 11.501, 4000, 1.000, 0.380, -6.701, -7.774, -23.170, 7.599, 29.895, 0, 1.580, 
-0.016, -0.122, -0.010, -0.041, -0.001, -0.008, 0.000, 0.000, -0.000, -0.068, 14, 82, 2, 1.581, 11.501, 4000, 1.000, 0.412, -6.193, -6.792, -22.055, 7.466, 26.419, 04, -0.043, -0.001, -0.009, 0.000, 0.000, -0.000, -0.069, 12, 86, 2, 1.581, 11.501, 4000, 1.000, 0.457, -5.667, -5.846, -20.980, 7.338, 21.384, 0, 1.581, 
-0.016, -0.129, -0.001, -0.045, -0.001, -0.010, 0.000, 0.000, 0.015, -0.054, 10, 86, 2, 1.581, 11.501, 4000, 1.000, 0.572, -4.603, -4.094, -18.989, 7.100, 19.743, 0, 1.580, 
-0.016, -0.131, 0.001, -0.048, -0.001, -0.010, 0.000, 0.000, 0.020, -0.061, 6, 89, 2, 1.580, 11.501, 4000, 1.000, 0.572, -4.603, -4.094, -18.989, 6.993, 18.618, 0, 1.580, 
-0.016, -0.134, 0.002, -0.048, -0.001, -0.011, 0.000, 0.000, -0.021, -0.045, 5, 93, 2, 1.580, 11.501, 4000, 1.000, 0.709, -3.573, -2.566, -17.251, 6.893, 17.956, 0, 1.580, 
-0.016, -0.136, -0.006, -0.045, -0.001, -0.011, 0.000, 0.000, -0.021, -0.053, 6, 93, 2, 1.580, 11.501, 4000, 1.000, 0.709, -3.573, -2.566, -17.251, 6.893, 17.701, 0, 1.580, 
-0.017, -0.138, -0.008, -0.043, -0.002, -0.011, 0.000, 0.000, -0.004, -0.053, 10, 92, 2, 1.580, 11.501, 4000, 1.000, 0.783, -3.084, -1.893, -16.486, 6.719, 17.800, 0, 1.580, 
-0.017, -0.140, -0.006, -0.043, -0.002, -0.012, 0.000, 0.000, -0.007, -0.066, 14, 91, 2, 1.580, 11.501, 4000, 1.000, 0.931, -2.180, -0.735, -15.168, 6.645, 18.200, 0, 1.580, 
-0.017, -0.143, -0.005, -0.042, -0.001, -0.012, 0.000, 0.000, -0.000, -0.055, 12, 95, 2, 1.580, 11.501, 4000, 1.000, 0.931, -2.180, -0.735, -15.168, 6.645, 18.845, 0, 1.580, 
-0.017, -0.144, -0.003, -0.041, -0.001, -0.013, 0.000, 0.000, 0.008, -0.054, 11, 94, 2, 1.581, 11.501, 4000, 1.000, 1.004, -1.770, -0.250, -14.615, 6.579, 19.140, 0, 1.581, 
-0.017, -0.146, -0.001, -0.040, -0.001, -0.013, 0.000, 0.000, 0.012, -0.048, 8, 94, 2, 1.581, 11.501, 4000, 1.000, 1.076, -1.390, 0.176, -14.130, 6.521, 19.126, 0, 1.581, 
-0.017, -0.149, 0.000, -0.041, -0.001, -0.014, 0.000, 0.000, -0.008, -0.052, 7, 93, 2, 1.582, 11.501, 4000, 1.000, 1.144, -1.043, 0.544, -13.711, 6.471, 18.845, 0, 1.582, 
-0.017, -0.151, -0.000, -0.041, -0.001, -0.014, 0.000, 0.000, -0.000, -0.058, 7, 95, 2, 1.582, 11.501, 4000, 1.000, 1.210, -0.727, 0.857, -13.354, 6.428, 18.340, 0, 1.582, 
-0.017, -0.154, -0.000, -0.044, -0.001, -0.015, 0.000, 0.000, -0.009, -0.049, 7, 98, 2, 1.581, 11.501, 4000, 1.000, 1.272, -0.443, 1.118, -13.056, 6.392, 17.649, 0, 1.581, 
-0.018, -0.156, -0.005, -0.042, -0.002, -0.015, 0.000, 0.000, -0.026, -0.053, 8, 101, 2, 1.581, 11.501, 4000, 1.000, 1.329, -0.192, 1.329, -12.815, 6.364, 16.806, 0, 1.581, 
-0.018, -0.158, -0.006, -0.042, -0.002, -0.016, 0.000, 0.000, -0.000, -0.053, 13, 101, 2, 1.582, 11.501, 4000, 1.000, 1.383, 0.029, 1.495, -12.625, 6.341, 15.845, 0, 1.582, 
-0.019, -0.161, -0.004, -0.044, -0.002, -0.017, 0.000, 0.000, 0.007, -0.064, 13, 102, 2, 1.582, 11.501, 4000, 1.000, 1.432, 0.221, 1.621, -12.481, 6.324, 14.793, 0, 1.580, 
-0.018, -0.163, -0.001, -0.045, -0.002, -0.017, 0.000, 0.000, -0.000, -0.069, 12, 105, 2, 1.580, 11.501, 4000, 1.000, 1.476, 0.383, 1.708, -12.382, 6.312, 14.793, 0, 1.580, 
-0.018, -0.166, 0.000, -0.045, -0.002, -0.018, 0.000, 0.000, 0.005, -0.086, 8, 109, 2, 1.580, 11.501, 4000, 1.000, 1.515, 0.518, 1.761, -12.320, 6.304, 13.678, 0, 1.580, 
-0.018, -0.169, 0.001, -0.048, -0.002, -0.019, 0.000, 0.000, 0.004, -0.068, 7, 109, 2, 1.580, 11.501, 4000, 1.000, 1.551, 0.629, 1.784, -12.293, 6.301, 12.524, 0, 1.580, 
-0.018, -0.171, 0.001, -0.047, -0.002, -0.019, 0.000, 0.000, -0.007, -0.036, 6, 115, 2, 1.580, 11.501, 4000, 1.000, 1.582, 0.717, 1.782, -12.295, 6.301, 11.353, 0, 1.580, 
-0.019, -0.173, -0.006, -0.041, -0.002, -0.020, 0.000, 0.000, -0.025, -0.049, 7, 113, 2, 1.580, 11.501, 4000, 1.000, 1.608, 0.784, 1.757, -12.323, 6.304, 10.185, 0, 1.580, 
