0.01, -0.00000, 0.00000, 6038, 
0.01, -0.00000, 0.00000, 6038, 
0.01, -0.00000, 0.00000, 6039, 
0.01, -0.00000, 0.00000, 6042, 
0.01, -0.00000, 0.00000, 6042, 
0.01, -0.00000, 0.00000, 6040, 
0.01, -0.00000, 0.00000, 6040, 
0.01, -0.00000, 0.00000, 6042, 
0.01, -0.00000, 0.00000, 6015, 
0.01, -0.00000, 0.00000, 6015, 
0.01, -0.00000, 0.00000, 6038, 
0.01, -0.00000, 0.00000, 6038, 
0.01, -0.00000, 0.00000, 6016, 
0.01, -0.00000, 0.00000, 6016, 
0.01, -0.02755, 0.45500, 6050, 
0.01, 0.03089, 0.45500, 6039, 
0.01, -0.06544, 0.45500, 6039, 
0.01, 0.06886, 0.45500, 6038, 
0.01, -0.11987, 0.45500, 6038, 
0.01, 0.05855, 0.45500, 6044, 
0.01, -0.14406, 0.45500, 6037, 
0.01, 0.09677, 0.45500, 6037, 
0.01, 0.00740, 0.45700, 6041, 
0.01, 0.07710, 0.45700, 6041, 
0.01, -0.00105, 0.45700, 6042, 
0.01, 0.01648, 0.45700, 6042, 
0.01, 0.09416, 0.45700, 6043, 
0.01, 0.05873, 0.45700, 6068, 
0.01, 0.00432, 0.45700, 6068, 
0.01, 0.06926, 0.45700, 6040, 
0.01, -0.13887, 0.45700, 6040, 
0.01, 0.16933, 0.45700, 5991, 
0.01, 0.00545, 0.45700, 6052, 
0.01, 0.07195, 0.45700, 6052, 
0.01, 0.02400, 0.45700, 6043, 
0.01, 0.10746, 0.45700, 6043, 
0.01, 0.00383, 0.45700, 6042, 
0.01, 0.01646, 0.45700, 6042, 
0.01, 0.00867, 0.45400, 6050, 
0.01, 0.01935, 0.45400, 6037, 
0.01, -0.06697, 0.45400, 6037, 
0.01, 0.00404, 0.45400, 6044, 
0.01, 0.05959, 0.45400, 6044, 
0.01, 0.03216, 0.45400, 6018, 
0.01, -0.08349, 0.45400, 6040, 
0.01, -0.05273, 0.45400, 6040, 
0.01, -0.03203, 0.45400, 6041, 
0.01, 0.01906, 0.45400, 6041, 
0.01, 0.06439, 0.45400, 6038, 
0.01, -0.00348, 0.45400, 6038, 
0.01, -0.05853, 0.45400, 6068, 
0.01, 0.02291, 0.45400, 6005, 
0.01, -0.02056, 0.45400, 6005, 
0.01, 0.03039, 0.45400, 6040, 
0.01, -0.12352, 0.45400, 6040, 
0.02, -0.00801, 0.45400, 6055, 
0.01, 0.02135, 0.45400, 6055, 
0.01, -0.02471, 0.45400, 6040, 
0.01, -0.07800, 0.45400, 6040, 
0.01, 0.04281, 0.45400, 6039, 
0.01, 0.00383, 0.45400, 6039, 
0.01, 0.01616, 0.45400, 6040, 
0.01, 0.01222, 0.45400, 6040, 
0.01, -0.06644, 0.45400, 6040, 
0.01, -0.02210, 0.45400, 6042, 
